trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.09995000000000001}",30,0,-65.75369690612885,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.09990000000000002}",20,0,-13.701963406783715,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.09985000000000002}",25,0,-70.96064065884238,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.09980000000000003}",25,0,4.910408056625451,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.09975000000000003}",20,0,-47.57514430975447,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.09970000000000004}",25,0,-52.70309315815098,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.09965000000000004}",20,0,-44.74806793373725,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.09960000000000005}",20,0,-45.9929489004655,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.09955000000000006}",20,0,26.889442274172346,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.09950000000000006}",25,0,-29.212146749512833,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.09945000000000007}",20,1,18.02625261842495,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.6, 'e': 0.09940000000000007}",25,8,11.127260652202649,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.09935000000000008}",35,13,41.13866598626173,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.09930000000000008}",20,0,-97.51659321124644,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.6, 'e': 0.09925000000000009}",25,0,-14.428276183468627,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.0992000000000001}",25,0,-68.58233686912575,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.6, 'e': 0.0991500000000001}",20,4,1.6677892897944488,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': 0.0991000000000001}",25,14,-8.549319190254815,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.6, 'e': 0.09905000000000011}",25,0,-10.102316839708658,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.09900000000000012}",20,0,-35.77397760310578,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
21,False,"{'a': 0.6, 'e': 0.09895000000000012}",30,9,-15.340064363573951,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.6, 'e': 0.09890000000000013}",20,0,29.99801369564318,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.6, 'e': 0.09885000000000013}",25,0,-4.6536841509129685,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.6, 'e': 0.09880000000000014}",25,0,-39.31275514108732,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.6, 'e': 0.09875000000000014}",35,0,47.429192229625606,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.09870000000000015}",25,0,-19.574542879931986,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.6, 'e': 0.09865000000000015}",20,11,12.1233969031995,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.6, 'e': 0.09860000000000016}",20,0,-1.4656905864610044,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
29,False,"{'a': 0.6, 'e': 0.09855000000000017}",30,0,-99.1277042153104,"{0: 25, 1: 0, 2: 1, 3: 2, 4: 2}",0
30,False,"{'a': 0.6, 'e': 0.09850000000000017}",20,16,5.346654268509137,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.6, 'e': 0.09845000000000018}",20,0,-69.24513448793904,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
32,False,"{'a': 0.6, 'e': 0.09840000000000018}",20,0,27.734431618158883,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.6, 'e': 0.09835000000000019}",30,0,24.42673536940547,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
34,False,"{'a': 0.6, 'e': 0.09830000000000019}",25,4,19.786615683205326,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.6, 'e': 0.0982500000000002}",25,0,4.439718039889891,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
36,False,"{'a': 0.6, 'e': 0.0982000000000002}",20,12,-34.40087013581741,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.6, 'e': 0.09815000000000021}",20,4,24.684695923487947,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.09810000000000021}",25,0,-3.357279783505498,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.6, 'e': 0.09805000000000022}",20,8,19.062459662977176,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.6, 'e': 0.09800000000000023}",30,9,22.453800917835608,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.6, 'e': 0.09795000000000023}",20,13,12.482814025999431,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.6, 'e': 0.09790000000000024}",30,0,16.22673422489705,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.6, 'e': 0.09785000000000024}",25,0,26.429289231493634,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.6, 'e': 0.09780000000000025}",35,26,15.086993423947874,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.6, 'e': 0.09775000000000025}",30,0,-7.781663669359975,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.6, 'e': 0.09770000000000026}",20,16,5.4925923594113915,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.6, 'e': 0.09765000000000026}",30,4,17.837634258086094,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.6, 'e': 0.09760000000000027}",25,18,5.656892847430248,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.6, 'e': 0.09755000000000028}",25,17,-26.453600818818085,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.6, 'e': 0.09750000000000028}",25,0,-21.081827351993137,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
51,False,"{'a': 0.6, 'e': 0.09745000000000029}",20,7,10.325489080868904,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.6, 'e': 0.09740000000000029}",20,0,29.80458415841837,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.6, 'e': 0.0973500000000003}",25,15,19.313437151423358,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.6, 'e': 0.0973000000000003}",20,8,18.423446183603666,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.6, 'e': 0.09725000000000031}",30,0,41.8267353676116,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.6, 'e': 0.09720000000000031}",25,7,-0.9088597408419594,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.6, 'e': 0.09715000000000032}",20,10,17.732061981178237,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.6, 'e': 0.09710000000000032}",30,14,26.583987624238706,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.6, 'e': 0.09705000000000033}",20,0,-12.80113735964591,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
60,False,"{'a': 0.6, 'e': 0.09700000000000034}",20,3,26.321869632207047,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.6, 'e': 0.09695000000000034}",20,6,11.724620889098775,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.6, 'e': 0.09690000000000035}",30,11,-12.570642935220512,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 0}",1
63,False,"{'a': 0.6, 'e': 0.09685000000000035}",20,0,-2.2282934763865514,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.6, 'e': 0.09680000000000036}",20,0,32.29899896435429,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.6, 'e': 0.09675000000000036}",20,0,27.913959802998328,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.6, 'e': 0.09670000000000037}",20,13,2.0008871887357027,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.6, 'e': 0.09665000000000037}",20,0,1.6815837019662538,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
68,False,"{'a': 0.6, 'e': 0.09660000000000038}",20,0,-2.1663507068997068,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
69,False,"{'a': 0.6, 'e': 0.09655000000000039}",20,11,3.1221240080364074,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.6, 'e': 0.09650000000000039}",20,0,23.58275363968651,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.6, 'e': 0.0964500000000004}",30,18,20.375179537159468,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.6, 'e': 0.0964000000000004}",30,14,23.994392342024334,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.6, 'e': 0.09635000000000041}",25,1,37.91131462760609,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.6, 'e': 0.09630000000000041}",30,0,21.289247419692124,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.6, 'e': 0.09625000000000042}",30,0,16.083352984748043,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.6, 'e': 0.09620000000000042}",30,21,16.895764049008143,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.6, 'e': 0.09615000000000043}",30,0,-0.7876793206476029,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
78,False,"{'a': 0.6, 'e': 0.09610000000000044}",20,14,11.57846754309333,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.6, 'e': 0.09605000000000044}",20,0,30.566267093952515,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.6, 'e': 0.09600000000000045}",20,3,19.253846602896367,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.6, 'e': 0.09595000000000045}",25,0,26.74077216606016,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.6, 'e': 0.09590000000000046}",20,0,24.210694800109867,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.6, 'e': 0.09585000000000046}",20,0,25.830502167902406,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.6, 'e': 0.09580000000000047}",20,10,18.60499325096872,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.6, 'e': 0.09575000000000047}",25,14,17.67241328772103,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.6, 'e': 0.09570000000000048}",20,4,26.081996789127604,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.6, 'e': 0.09565000000000048}",20,3,26.715912191200804,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.09560000000000049}",25,9,31.87489524809358,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.6, 'e': 0.0955500000000005}",20,12,16.435522940163477,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.6, 'e': 0.0955000000000005}",25,0,13.750418086325219,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.6, 'e': 0.0954500000000005}",25,8,-14.54643819330884,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.6, 'e': 0.09540000000000051}",25,8,-31.9447548348241,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.6, 'e': 0.09535000000000052}",30,12,-14.49123813683758,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.6, 'e': 0.09530000000000052}",20,3,29.202796622088997,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.6, 'e': 0.09525000000000053}",20,9,18.433499497209436,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.6, 'e': 0.09520000000000053}",20,0,-35.629637913886825,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
97,False,"{'a': 0.6, 'e': 0.09515000000000054}",20,9,7.830953457863654,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.09510000000000055}",20,0,20.25823797494262,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.6, 'e': 0.09505000000000055}",20,0,11.143106409996559,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
100,False,"{'a': 0.6, 'e': 0.09500000000000056}",20,16,6.968735043696788,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.6, 'e': 0.09495000000000056}",20,4,15.333601209164414,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.6, 'e': 0.09490000000000057}",25,9,23.15798818834869,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.6, 'e': 0.09485000000000057}",20,2,23.960530717768584,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.6, 'e': 0.09480000000000058}",20,0,28.842621858132336,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
