trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.09995000000000001}",20,0,-64.69227737000794,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.09990000000000002}",20,0,-111.39602278418732,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.09985000000000002}",25,5,-36.31273516550662,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.6, 'e': 0.09980000000000003}",30,0,-204.66340434487088,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.6, 'e': 0.09975000000000003}",20,0,-115.47126913606154,"{0: 7, 1: 6, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.6, 'e': 0.09970000000000004}",30,16,-32.37478874727993,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.6, 'e': 0.09965000000000004}",20,3,-153.46330434822113,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 3}",1
8,False,"{'a': 0.6, 'e': 0.09960000000000005}",20,10,-89.67253560585766,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.6, 'e': 0.09955000000000006}",25,0,-139.20397386446268,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.6, 'e': 0.09950000000000006}",20,0,-107.31567489985778,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.09945000000000007}",25,0,-123.57675050840427,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.6, 'e': 0.09940000000000007}",25,0,-222.68262198531846,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
13,False,"{'a': 0.6, 'e': 0.09935000000000008}",25,0,-106.49151039017474,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.09930000000000008}",25,0,-83.30897897289898,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.09925000000000009}",20,0,-96.64784841623687,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.6, 'e': 0.0992000000000001}",20,0,-168.38473073769094,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.6, 'e': 0.0991500000000001}",25,0,-152.5616850309033,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
18,False,"{'a': 0.6, 'e': 0.0991000000000001}",30,0,-149.4016040211236,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.09905000000000011}",25,0,-173.10593601722263,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
20,False,"{'a': 0.6, 'e': 0.09900000000000012}",20,15,-0.23903086903758552,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,-132.99449942155798,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-74.73034893285819,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-191.57792082747105,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-75.46984556357384,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-28.71754041417465,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-102.68882676920529,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-42.25155564334247,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-95.82445194883788,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-132.2441482864356,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-166.56073307259535,"{0: 8, 1: 1, 2: 7, 3: 3, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",20,0,-173.7857731849632,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
12,True,"{'a': 0, 'e': 0}",35,0,-149.0532426693759,"{0: 23, 1: 3, 2: 5, 3: 2, 4: 2}",0
13,True,"{'a': 0, 'e': 0}",20,0,-69.25900426981474,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
14,True,"{'a': 0, 'e': 0}",25,0,-212.14257839544882,"{0: 10, 1: 3, 2: 7, 3: 3, 4: 2}",0
15,True,"{'a': 0, 'e': 0}",20,4,8.174841461633504,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,0,-64.84649822818177,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,True,"{'a': 0, 'e': 0}",30,0,-108.5343448690279,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",25,0,-66.71858152768722,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",25,0,-155.05576386938128,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
20,True,"{'a': 0, 'e': 0}",30,0,-40.37530706626497,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
